,Timestamp,(d/dt)p,(d/dt)VE,PE,Roll,VE,p,Mu_roll,Flight Time (s)
1238,91870190.0,0.1221730476674991,-0.023136458000004707,-0.7171119,0.0172787595986891,0.02691118,0.0165806278977323,-0.0005,61.900000000000006
1239,91870195.0,0.0872664626196485,0.088721992,-0.72024355,0.0184132236127444,0.031447675,0.0226892802811069,0.0,61.95
1240,91870200.0,0.0523598775717847,0.06770039200000169,-0.7233752,0.0195476876267998,0.03598417,0.0253072741596972,0.0005,62.0
1241,91870205.0,0.0349065850478468,0.04667879199999989,-0.7263506500000002,0.0209439510287141,0.0384185050000001,0.0279252680382854,0.0,62.05
1242,91870210.0,0.0174532925239286,0.05279104200000039,-0.7293261,0.0223402144306283,0.04085284,0.0287979326644818,-0.0005,62.1
1243,91870215.0,-0.1308996939294742,0.05890329199999989,-0.7315218000000001,0.0238237442951623,0.0438984000000002,0.0296705972906782,0.0,62.150000000000006
1244,91870220.0,-0.2792526803828545,0.11011129199999199,-0.7337175,0.0253072741596961,0.04694396,0.0157079632715344,0.0005,62.2
1245,91870225.0,-0.226892802811052,0.161319292,-0.7345823499999999,0.0253945406223158,0.0551103199999994,0.0017453292523928,0.0,62.25
1246,91870230.0,-0.1745329252392836,0.1129939920000034,-0.7354472,0.0254818070849354,0.06327668,-0.0069813170095707,-0.0005,62.3
1247,91870235.0,-0.1483529864534028,0.0646686919999999,-0.7351994,0.0246964089213587,0.0666105099999997,-0.0157079632715355,0.0,62.35
1248,91870240.0,-0.1221730476674991,0.0846072420000023,-0.7349516,0.0239110107577819,0.06994434,-0.021816615654911,0.0005,62.400000000000006
1249,91870245.0,-0.0610865238337542,0.1045457920000001,-0.7348181,0.0225147473558676,0.0752720249999999,-0.0279252680382854,0.0005,62.45
1250,91870250.0,3.469446951953614e-16,0.03230804199999869,-0.7346846,0.0211184839539533,0.08059971,-0.0279252680382864,0.0005,62.5
1251,91870255.0,0.0436332313098343,-0.03992970800000001,-0.73377925,0.0197222205520389,0.0787036199999998,-0.0279252680382854,0.0,62.55
1252,91870260.0,0.0872664626196416,-0.013533107999998007,-0.7328739,0.0183259571501248,0.07680753,-0.023561944907303,-0.0005,62.6
1253,91870265.0,0.0261799387859043,0.012863491999999891,-0.7310760499999999,0.0173660260613086,0.0775511,-0.0191986217763212,0.0,62.650000000000006
1254,91870270.0,-0.0349065850478565,0.1120128919999919,-0.7292782,0.0164060949724926,0.07829467,-0.0209439510287125,0.0005,62.7
1255,91870275.0,-0.0698131700957246,0.211162292,-0.7262632000000002,0.0152716309584374,0.0889531799999992,-0.0226892802811069,0.0005,62.75
1256,91870280.0,-0.1047197551435705,0.0748606420000096,-0.7232482,0.014137166944382,0.09961169,-0.027925268038285,0.0005,62.8
1257,91870285.0,0.0523598775717695,-0.06144100800000001,-0.7216708500000001,0.0124791041546089,0.0966400350000002,-0.0331612557954639,0.0,62.85
1258,91870290.0,0.209439510287141,0.006259641999997892,-0.7200934999999999,0.0108210413648356,0.09366838,-0.0226892802811081,-0.0005,62.900000000000006
1259,91870295.0,0.0610865238337539,0.073960292,-0.7181286,0.0102101761264981,0.09746679,-0.0122173047667498,0.0,62.95
1260,91870300.0,-0.0872664626196421,0.078893192000003,-0.7161637,0.0095993108881606,0.1012652,-0.0165806278977327,0.0005,63.0
1261,91870305.0,0.0087266462619752,0.08382609199999999,-0.7134671999999997,0.0085521133367248,0.1055569000000003,-0.020943951028714,0.0,63.05
